trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
194,False,"{'a': 0.5, 'e': 0.23515744745742453}",20,0,-0.5026855805659967,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
195,False,"{'a': 0.5, 'e': 0.23340036390115138}",20,6,2.4542675414582984,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.23165640917688882}",30,19,19.616543720848167,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.22992548518672384}",30,7,21.943229165188978,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.22820749456572564}",20,8,-2.5355034798229243,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.2265023406764688}",20,16,5.9528782590084575,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.2248099276035974}",25,0,-5.8529064685902235,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
201,False,"{'a': 0.5, 'e': 0.22313016014842982}",30,7,-26.053270559618667,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 1}",1
202,False,"{'a': 0.5, 'e': 0.22146294382360393}",25,15,10.992988331652084,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.21980818484776174}",25,10,-17.73750021534371,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.21816579014027454}",25,11,11.721994768972854,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.21653566731600707}",25,15,17.628221202064314,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.2149177246801206}",25,8,-4.109967923324255,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.21331187122291523}",20,14,12.244544249764514,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.2117180166147106}",25,4,-3.6308640132924266,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.21013607120076472}",30,8,6.499688689095354,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
